id,text,search_text,keywords,disease,crop,section_type,section_title,rescued,doc,page
40,"Isariopsis Leaf Spot is primarily a foliar disease that occurs in grape-growing regions characterized by warm, humid climates. It typically appears later in the growing season, often post-harvest or late summer. While it generally does not directly infect the grape berries or wood, severe infections can cause rapid and premature defoliation. This loss of foliage limits the vine's ability to photosynthesize, thereby reducing the accumulation of carbohydrate reserves needed for winter survival and robust shoot growth the following spring.","Grape Isariopsis Leaf Spot - Disease Overview: Isariopsis Leaf Spot is primarily a foliar disease that occurs in grape-growing regions characterized by warm, humid climates. It typically appears later in the growing season, often post-harvest or late summer. While it generally does not directly infect the grape berries or wood, severe infections can cause rapid and premature defoliation. This loss of foliage limits the vine's ability to photosynthesize, thereby reducing the accumulation of carbohydrate reserves needed for winter survival and robust shoot growth the following spring. This loss",['This loss'],grape_isariopsis_leaf_spot,grape,overview,Disease Overview,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
41,"Overwintering: The fungus survives the winter months primarily as mycelium or fruiting bodies (stromata) in fallen, infected grape leaves on the vineyard floor.","Grape Isariopsis Leaf Spot - Causes & Transmission Vectors: Overwintering: The fungus survives the winter months primarily as mycelium or fruiting bodies (stromata) in fallen, infected grape leaves on the vineyard floor.",[],grape_isariopsis_leaf_spot,grape,transmission,Causes & Transmission Vectors,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
42,"Spore Release: In the spring and summer, warm temperatures and rainfall stimulate the production of conidia (asexual spores) from the overwintered leaf debris.","Grape Isariopsis Leaf Spot - Causes & Transmission Vectors: Spore Release: In the spring and summer, warm temperatures and rainfall stimulate the production of conidia (asexual spores) from the overwintered leaf debris.",[],grape_isariopsis_leaf_spot,grape,transmission,Causes & Transmission Vectors,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
43,Transmission: These spores are dispersed upward into the canopy by wind and splashing rain. High relative humidity and prolonged leaf wetness are essential for the spores to germinate and infect the healthy leaves.,Grape Isariopsis Leaf Spot - Causes & Transmission Vectors: Transmission: These spores are dispersed upward into the canopy by wind and splashing rain. High relative humidity and prolonged leaf wetness are essential for the spores to germinate and infect the healthy leaves. High relative These spores,"['High relative', 'These spores']",grape_isariopsis_leaf_spot,grape,transmission,Causes & Transmission Vectors,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
44,"Early Foliar Symptoms: The disease first appears on the upper surface of the leaves as small, irregular to angular spots. These lesions are initially dark brown to brownish-red. A key identifying feature is that the spots are often distinctly bordered by the small veins of the leaf, giving them an angular appearance.","Grape Isariopsis Leaf Spot - Symptoms (Early & Advanced Stages): Early Foliar Symptoms: The disease first appears on the upper surface of the leaves as small, irregular to angular spots. These lesions are initially dark brown to brownish-red. A key identifying feature is that the spots are often distinctly bordered by the small veins of the leaf, giving them an angular appearance. These lesions",['These lesions'],grape_isariopsis_leaf_spot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
45,"Signs on Leaf Underside: During periods of high humidity, inspecting the underside of the leaf directly beneath the spots reveals a dark, grayish-black, fuzzy or velvety growth. This is the fungus actively producing spores (conidiophores).","Grape Isariopsis Leaf Spot - Symptoms (Early & Advanced Stages): Signs on Leaf Underside: During periods of high humidity, inspecting the underside of the leaf directly beneath the spots reveals a dark, grayish-black, fuzzy or velvety growth. This is the fungus actively producing spores (conidiophores). During periods",['During periods'],grape_isariopsis_leaf_spot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
46,"Advanced Stage (Defoliation): As the disease progresses, the lesions may coalesce, covering large areas of the leaf surface. The infected leaves turn yellow (chlorosis), dry up, and fall off the vine prematurely.","Grape Isariopsis Leaf Spot - Symptoms (Early & Advanced Stages): Advanced Stage (Defoliation): As the disease progresses, the lesions may coalesce, covering large areas of the leaf surface. The infected leaves turn yellow (chlorosis), dry up, and fall off the vine prematurely.",[],grape_isariopsis_leaf_spot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
47,Grape Isariopsis Leaf Spot: Fruit and Stems: Infections on berries or shoots are extremely rare; the disease is almost exclusively confined to the foliage.,Grape Isariopsis Leaf Spot - Symptoms (Early & Advanced Stages): Fruit and Stems: Infections on berries or shoots are extremely rare; the disease is almost exclusively confined to the foliage. Fruit and,['Fruit and'],grape_isariopsis_leaf_spot,grape,symptom,Symptoms (Early & Advanced Stages),True,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
48,"Sanitation (Vineyard Floor Management): Since the pathogen overwinters in leaf litter, collecting, mulching, or cultivating fallen leaves into the soil in autumn/winter significantly reduces the primary inoculum for the next season.","Grape Isariopsis Leaf Spot - Prevention & Cultural Practices: Sanitation (Vineyard Floor Management): Since the pathogen overwinters in leaf litter, collecting, mulching, or cultivating fallen leaves into the soil in autumn/winter significantly reduces the primary inoculum for the next season. Since the",['Since the'],grape_isariopsis_leaf_spot,grape,prevention,Prevention & Cultural Practices,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
49,"Canopy Management: Practices that open the canopy—such as proper shoot positioning, shoot thinning, and selective leaf removal—increase airflow and sunlight penetration. This promotes faster drying of leaves, reducing the wetness duration required for fungal infection.","Grape Isariopsis Leaf Spot - Prevention & Cultural Practices: Canopy Management: Practices that open the canopy—such as proper shoot positioning, shoot thinning, and selective leaf removal—increase airflow and sunlight penetration. This promotes faster drying of leaves, reducing the wetness duration required for fungal infection. Practices that This promotes","['Practices that', 'This promotes']",grape_isariopsis_leaf_spot,grape,prevention,Prevention & Cultural Practices,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
50,"Weed Control: Keeping the under-vine area free of tall weeds improves air circulation near the ground, lowering relative humidity and slowing the upward splash of spores.","Grape Isariopsis Leaf Spot - Prevention & Cultural Practices: Weed Control: Keeping the under-vine area free of tall weeds improves air circulation near the ground, lowering relative humidity and slowing the upward splash of spores. Keeping the",['Keeping the'],grape_isariopsis_leaf_spot,grape,prevention,Prevention & Cultural Practices,False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,2
51,"Fungicide Programs: Often, Isariopsis Leaf Spot is incidentally controlled by the routine fungicide programs designed to target more severe diseases like Downy Mildew or Black Rot. Therefore, dedicated sprays are only necessary in high-pressure environments or highly susceptible varieties.","Grape Isariopsis Leaf Spot - Treatment & Solutions (Chemical & Biological): Fungicide Programs: Often, Isariopsis Leaf Spot is incidentally controlled by the routine fungicide programs designed to target more severe diseases like Downy Mildew or Black Rot. Therefore, dedicated sprays are only necessary in high-pressure environments or highly susceptible varieties.",[],grape_isariopsis_leaf_spot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,3
52,"Chemical Control: Copper-based fungicides (e.g., Bordeaux mixture) and broad-spectrum protectants like Mancozeb are highly effective when applied preventatively. Applications are typically most beneficial from mid-summer onward when symptoms first appear or weather conditions become favorable for the fungus.","Grape Isariopsis Leaf Spot - Treatment & Solutions (Chemical & Biological): Chemical Control: Copper-based fungicides (e.g., Bordeaux mixture) and broad-spectrum protectants like Mancozeb are highly effective when applied preventatively. Applications are typically most beneficial from mid-summer onward when symptoms first appear or weather conditions become favorable for the fungus. Applications are Bordeaux mixture Mancozeb are bordeaux copper mancozeb","['Applications are', 'Bordeaux mixture', 'Mancozeb are', 'bordeaux', 'copper', 'mancozeb']",grape_isariopsis_leaf_spot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,3
53,"Post-Harvest Management: In regions where the disease causes severe premature leaf drop, a post-harvest fungicide application may be warranted to retain the canopy long enough for the vine to store adequate winter reserves.","Grape Isariopsis Leaf Spot - Treatment & Solutions (Chemical & Biological): Post-Harvest Management: In regions where the disease causes severe premature leaf drop, a post-harvest fungicide application may be warranted to retain the canopy long enough for the vine to store adequate winter reserves.",[],grape_isariopsis_leaf_spot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,3
54,Tomato Bacterial Spot: Common Name: Bacterial Spot,Tomato Bacterial Spot - Disease Name & Target Crop: Common Name: Bacterial Spot,[],tomato_bacterial_spot,tomato,identity,Disease Name & Target Crop,True,Tomato_Bacterial_Spot_RAG.pdf,1
55,Tomato Bacterial Spot: Target Crop: Tomato (Solanum lycopersicum),Tomato Bacterial Spot - Disease Name & Target Crop: Target Crop: Tomato (Solanum lycopersicum) Solanum lycopersicum,['Solanum lycopersicum'],tomato_bacterial_spot,tomato,identity,Disease Name & Target Crop,True,Tomato_Bacterial_Spot_RAG.pdf,1
